Race ID,Horse ID,Favorite_Rank,Age_Scale,Bracket Number,Top3_Rank,Speed (m/s)_Rank,Track_Distance,Weight_Rank,Finish Position
199006050610,1987102798,4.0,0.6666666666666666,6,1.0,8.0,1200,9.0,5
199006050610,1984103836,6.0,1.206896551724138,4,4.0,4.0,1200,11.0,6
199006050610,1987101822,14.0,0.6666666666666666,2,4.0,12.0,1200,15.0,7
199006050610,1985101394,2.0,1.0227272727272727,5,4.0,11.0,1200,7.0,8
199006050610,1987103889,3.0,0.6666666666666666,8,4.0,10.0,1200,5.0,9
199006050610,1986101762,9.0,0.8426966292134831,7,4.0,7.0,1200,12.0,10
199006050610,1985102560,13.0,1.0227272727272727,3,4.0,2.0,1200,5.0,11
199006050610,1982105727,16.0,1.588235294117647,8,4.0,12.0,1200,4.0,12
199006050610,1984103735,15.0,1.206896551724138,8,4.0,1.0,1200,13.0,13
199006050610,1985104782,10.0,1.0227272727272727,3,4.0,12.0,1200,13.0,14
199006050610,1984104435,12.0,1.206896551724138,2,4.0,12.0,1200,16.0,15
199006050610,1985102546,11.0,1.0227272727272727,7,4.0,9.0,1200,2.0,16
199007010611,1986102968,1.0,0.75,1,1.0,2.0,2000,6.0,1
199007010611,1983102342,13.0,1.2371134020618557,4,3.0,6.0,2000,11.0,2
199007010611,1983104010,7.0,1.2371134020618557,2,3.0,6.0,2000,3.0,3
199007010611,1985100599,4.0,0.9090909090909092,6,3.0,6.0,2000,1.0,4
199007010611,1984104479,5.0,1.0714285714285714,7,1.0,4.0,2000,14.0,5
199007010611,1985101830,2.0,0.9090909090909092,3,3.0,6.0,2000,7.0,6
199007010611,1985101073,10.0,0.9090909090909092,4,3.0,6.0,2000,2.0,7
199007010611,1984105663,9.0,1.0714285714285714,2,3.0,6.0,2000,11.0,8
199007010611,1986105154,14.0,0.75,3,3.0,6.0,2000,14.0,9
199007010611,1985100057,11.0,0.9090909090909092,5,3.0,5.0,2000,13.0,10
199007010611,1986104130,6.0,0.75,1,3.0,6.0,2000,8.0,11
199007010611,1985101175,3.0,0.9090909090909092,7,3.0,6.0,2000,5.0,12
199007010611,1985501233,12.0,0.9090909090909092,5,3.0,6.0,2000,9.0,13
199007010611,1982105727,16.0,1.40625,8,3.0,1.0,2000,4.0,14
199007010611,1981105396,15.0,1.5789473684210527,6,3.0,6.0,2000,16.0,15
199007010611,1986101762,8.0,0.75,8,3.0,3.0,2000,10.0,16
199006050809,1985102167,4.0,1.1688311688311688,4,5.0,2.0,2500,5.0,1
199006050809,1987105368,3.0,0.759493670886076,3,7.0,10.0,2500,2.0,2
199006050809,1987105974,1.0,0.759493670886076,7,1.0,5.0,2500,14.0,3
199006050809,1986102968,5.0,0.9615384615384615,2,1.0,1.0,2500,8.0,4
199006050809,1986102123,12.0,0.9615384615384615,1,7.0,10.0,2500,11.0,5
199006050809,1983103889,9.0,1.6,2,7.0,7.0,2500,13.0,6
199006050809,1985104215,6.0,1.1688311688311688,1,5.0,3.0,2500,4.0,7
199006050809,1985104631,13.0,1.1688311688311688,5,7.0,8.0,2500,3.0,8
199006050809,1987105650,7.0,0.759493670886076,7,7.0,10.0,2500,6.0,9
199006050809,1985103406,2.0,1.1688311688311688,4,7.0,10.0,2500,1.0,10
199006050809,1986105047,8.0,0.9615384615384615,6,7.0,9.0,2500,8.0,11
199006050809,1986106811,11.0,0.9615384615384615,8,7.0,10.0,2500,7.0,11
199006050809,1987103554,10.0,0.759493670886076,5,1.0,6.0,2500,12.0,13
199006050809,1987104444,16.0,0.759493670886076,6,7.0,10.0,2500,15.0,14
199006050809,1986105893,15.0,0.9615384615384615,3,7.0,10.0,2500,16.0,15
199006050809,1985106619,14.0,1.1688311688311688,8,1.0,4.0,2500,10.0,16
199007020411,1985101394,6.0,1.0714285714285714,6,3.0,8.0,1200,8.0,1
199007020411,1985104122,1.0,1.0714285714285714,8,1.0,3.0,1200,4.0,2
199007020411,1985102560,3.0,1.0714285714285714,5,3.0,1.0,1200,5.0,3
199007020411,1985105175,9.0,1.0714285714285714,2,3.0,10.0,1200,5.0,4
199007020411,1985101921,7.0,1.0714285714285714,1,3.0,6.0,1200,2.0,5
199007020411,1983104887,14.0,1.4634146341463414,7,3.0,7.0,1200,15.0,6
199007020411,1986101828,2.0,0.8823529411764706,8,1.0,2.0,1200,10.0,7
199007020411,1986102317,11.0,0.8823529411764706,1,3.0,5.0,1200,1.0,8
