horse1_Age,horse1_Weight (kg),horse1_Horse Weight (kg),horse1_average_time,horse2_Age,horse2_Weight (kg),horse2_Horse Weight (kg),horse2_average_time,horse3_Age,horse3_Weight (kg),horse3_Horse Weight (kg),horse3_average_time,horse4_Age,horse4_Weight (kg),horse4_Horse Weight (kg),horse4_average_time,horse5_Age,horse5_Weight (kg),horse5_Horse Weight (kg),horse5_average_time,horse6_Age,horse6_Weight (kg),horse6_Horse Weight (kg),horse6_average_time,horse7_Age,horse7_Weight (kg),horse7_Horse Weight (kg),horse7_average_time,horse8_Age,horse8_Weight (kg),horse8_Horse Weight (kg),horse8_average_time,horse9_Age,horse9_Weight (kg),horse9_Horse Weight (kg),horse9_average_time,horse10_Age,horse10_Weight (kg),horse10_Horse Weight (kg),horse10_average_time,horse11_Age,horse11_Weight (kg),horse11_Horse Weight (kg),horse11_average_time,horse12_Age,horse12_Weight (kg),horse12_Horse Weight (kg),horse12_average_time,horse13_Age,horse13_Weight (kg),horse13_Horse Weight (kg),horse13_average_time,horse14_Age,horse14_Weight (kg),horse14_Horse Weight (kg),horse14_average_time,horse15_Age,horse15_Weight (kg),horse15_Horse Weight (kg),horse15_average_time,horse16_Age,horse16_Weight (kg),horse16_Horse Weight (kg),horse16_average_time,target
5,54.0,456.0,94.5,6,54.0,462.0,108.175,6,54.0,456.0,102.2,6,54.0,432.0,95.6,5,55.0,470.0,95.1,7,56.0,498.0,96.4,4,53.0,460.0,96.0,6,56.0,452.0,95.2,7,56.0,516.0,102.15,6,56.0,414.0,96.7,6,53.0,414.0,95.3,8,57.0,448.0,95.7,5,54.0,442.0,83.5,7,56.0,446.0,109.46666666666665,6,53.0,492.0,95.4,5,54.0,524.0,88.15,15
4,53.0,468.0,97.3,4,53.0,426.0,104.39999999999999,4,53.0,406.0,95.9,4,53.0,424.0,96.75,4,53.0,440.0,96.95,4,54.0,448.0,96.65,4,53.0,456.0,96.9,4,53.0,478.0,97.8,4,53.0,458.0,96.5,4,53.0,414.0,96.8,4,53.0,444.0,97.4,4,53.0,418.0,96.7,4,53.0,392.0,97.65,4,53.0,446.0,105.63333333333333,4,53.0,428.0,96.6,4,54.0,446.0,98.02000000000001,15
4,54.0,470.0,108.4,4,54.0,492.0,104.76666666666667,4,54.0,440.0,117.25,4,54.0,446.0,123.1,4,54.0,426.0,124.4,4,54.0,450.0,123.5,4,54.0,466.0,96.30000000000001,4,54.0,406.0,122.9,4,54.0,428.0,112.73333333333333,4,54.0,438.0,123.2,4,54.0,448.0,122.2,4,54.0,508.0,114.53333333333335,4,54.0,470.0,124.0,4,54.0,492.0,123.2,4,54.0,440.0,98.02000000000001,4,54.0,480.0,123.4,10
4,56.0,444.0,124.6,4,56.0,442.0,121.9,4,56.0,422.0,123.0,4,56.0,452.0,106.1,4,56.0,476.0,109.8,4,56.0,448.0,123.1,4,56.0,456.0,122.9,4,56.0,494.0,125.3,4,56.0,462.0,122.1,4,56.0,504.0,118.23333333333333,4,56.0,454.0,124.05,4,56.0,482.0,124.55,4,56.0,484.0,123.6,4,56.0,470.0,123.3,4,56.0,464.0,122.2,4,56.0,484.0,103.0,1
5,55.0,506.0,130.33333333333334,5,52.0,460.0,138.45,5,54.0,486.0,115.8,7,59.0,494.0,166.225,5,53.0,430.0,152.8,5,53.0,482.0,137.8,7,57.0,502.0,122.63333333333333,5,56.0,476.0,125.96666666666665,7,50.0,432.0,154.1,5,53.0,482.0,153.9,4,52.0,502.0,137.35,5,60.0,458.0,146.075,6,52.0,502.0,153.0,6,54.0,462.0,153.1,6,55.0,520.0,136.7,5,58.0,486.0,156.1,0
4,55.0,464.0,80.6,6,55.0,470.0,68.5,5,55.0,510.0,68.3,6,57.0,474.0,70.8,4,53.0,478.0,96.30000000000001,4,55.0,456.0,68.6,7,57.0,492.0,87.74,5,55.0,460.0,91.125,5,57.0,468.0,75.05,5,57.0,490.0,68.6,7,57.0,524.0,78.75999999999999,4,55.0,484.0,78.0,4,53.0,416.0,82.35,4,55.0,464.0,68.19999999999999,5,57.0,494.0,69.0,6,57.0,458.0,76.74,7
5,55.0,466.0,120.6,6,55.0,458.0,119.35,5,54.0,488.0,120.3,5,53.0,412.0,107.05,7,55.0,418.0,120.7,6,55.0,488.0,133.64999999999998,8,56.0,456.0,120.3,5,56.0,480.0,121.05999999999999,5,55.0,450.0,114.9,7,57.0,490.0,94.76,6,53.0,454.0,108.175,7,55.0,402.0,116.45,5,53.0,484.0,121.0,6,54.0,470.0,120.3,5,55.0,506.0,130.33333333333334,6,56.0,432.0,126.67500000000001,2
5,55.0,492.0,95.56666666666668,10,50.0,498.0,103.86666666666667,5,55.0,486.0,121.05999999999999,7,50.0,460.0,113.97999999999999,7,58.0,498.0,119.8,7,54.0,486.0,117.44999999999999,8,57.0,508.0,123.4,7,58.0,480.0,117.63333333333333,7,55.0,472.0,141.9,5,52.0,470.0,114.27000000000001,7,54.0,446.0,115.65,7,58.0,492.0,94.76,8,56.0,466.0,91.125,5,54.0,448.0,121.95,5,54.0,452.0,116.91666666666667,6,53.0,484.0,123.2,11
4,55.0,466.0,80.6,6,55.0,504.0,90.43333333333334,5,57.0,470.0,91.125,6,57.0,480.0,81.8,6,57.0,488.0,81.2,6,58.0,460.0,101.52000000000001,5,57.0,472.0,82.5,5,57.0,456.0,75.05,5,58.0,468.0,93.62,6,57.0,476.0,82.0,6,57.0,450.0,76.74,5,57.0,508.0,130.33333333333334,6,57.0,506.0,89.55,7,57.0,488.0,94.76,7,59.0,500.0,77.725,5,57.0,444.0,114.27000000000001,0
7,52.0,472.0,112.7,8,59.0,500.0,157.15,6,56.0,468.0,119.35,7,50.0,488.0,111.1,5,52.0,474.0,109.06666666666666,9,55.0,458.0,118.76666666666667,7,50.0,446.0,111.3,5,51.0,460.0,103.95,6,53.0,478.0,110.7,5,52.0,460.0,111.6,7,54.0,456.0,115.65,6,56.0,438.0,108.86666666666667,5,51.0,444.0,112.9,7,54.0,486.0,117.44999999999999,5,53.0,450.0,123.66,5,55.0,476.0,120.075,14
